date,rank_ic,top_bot_spread,n
2022-12-30,0.08031145717463849,0.09111111111111114,30
2023-01-06,0.4006674082313682,0.2155555555555556,30
2023-01-13,-0.28854282536151277,-0.1933333333333333,30
2023-01-20,-0.023804226918798663,-0.09555555555555545,30
2023-01-27,0.21334816462736375,0.07777777777777761,30
2023-02-03,0.185761957730812,0.14000000000000012,30
2023-02-10,0.21245828698553948,0.1533333333333332,30
2023-02-17,0.5132369299221357,0.21111111111111103,30
2023-02-24,0.4909899888765294,0.268888888888889,30
2023-03-03,0.628921023359288,0.3400000000000001,30
2023-03-10,0.5038932146829811,0.19777777777777766,30
2023-03-17,0.25917686318131256,0.10000000000000009,30
2023-03-24,0.019799777530589546,0.051111111111110996,30
2023-03-31,0.2671857619577308,0.09555555555555556,30
2023-04-07,0.2,0.0022222222222222365,30
2023-04-14,0.30634037819799775,0.11333333333333334,30
2023-04-21,0.335706340378198,0.17111111111111132,30
2023-04-28,0.5096774193548387,0.17999999999999988,30
2023-05-05,0.6062291434927697,0.3400000000000001,30
2023-05-12,0.059844271412680755,0.05111111111111111,30
2023-05-19,0.33748609566184645,0.19333333333333325,30
2023-05-26,0.28987764182424913,0.1577777777777778,30
2023-06-02,0.23559510567296996,0.17111111111111116,30
2023-06-09,0.18264738598442715,0.08666666666666673,30
2023-06-16,-0.16662958843159065,-0.033333333333333215,30
2023-06-23,-0.2667408231368187,-0.1533333333333335,30
2023-06-30,0.19510567296996661,0.14,30
2023-07-07,0.21557285873192436,0.06888888888888878,30
2023-07-14,0.21245828698553948,0.05999999999999994,30
2023-07-21,0.26585094549499444,0.20222222222222225,30
2023-07-28,0.6863181312569522,0.30000000000000004,30
2023-08-04,0.4829810901001112,0.23333333333333328,30
2023-08-11,0.47452725250278077,0.17111111111111127,30
2023-08-18,-0.019799777530589546,0.0377777777777778,30
2023-08-25,0.21601779755283645,0.04222222222222222,30
2023-09-01,-0.18131256952169075,-0.1266666666666667,30
2023-09-08,-0.11101223581757509,-0.07333333333333325,30
2023-09-15,-0.038042269187986644,-0.08666666666666678,30
2023-09-22,-0.024249165739710785,-0.05111111111111116,30
2023-09-29,0.3210233592880979,0.11777777777777787,30
2023-10-06,0.16440489432703,0.07333333333333314,30
2023-10-13,0.09766407119021134,0.02444444444444438,30
2023-10-20,-0.5515016685205784,-0.2911111111111111,30
2023-10-27,-0.14972191323692993,-0.0022222222222222365,30
2023-11-03,-0.11590656284760845,-0.028888888888888964,30
2023-11-10,0.1884315906562848,0.15777777777777785,30
2023-11-17,0.06696329254727475,-0.028888888888888853,30
2023-11-24,0.189321468298109,0.07777777777777783,30
2023-12-01,0.1408231368186874,0.05555555555555547,30
2023-12-08,-0.1546162402669633,-0.0377777777777778,30
2023-12-15,-0.04872080088987764,0.07777777777777772,30
2023-12-22,0.21334816462736375,0.15777777777777774,30
2023-12-29,0.34015572858731924,0.21555555555555567,30
2024-01-05,0.5795328142380423,0.31777777777777794,30
2024-01-12,0.43715239154616237,0.1755555555555554,30
2024-01-19,-0.06607341490545049,-0.033333333333333215,30
2024-01-26,-0.17997775305895441,-0.05555555555555569,30
2024-02-02,-0.23292547274749723,-0.1533333333333335,30
2024-02-09,0.3090100111234705,0.15777777777777785,30
2024-02-16,-0.15595105672969967,-0.020000000000000018,30
2024-02-23,0.09855394883203561,-0.011111111111111294,30
2024-03-01,-0.15372636262513903,-0.028888888888889075,30
2024-03-08,0.1621802002224694,-0.00666666666666671,30
2024-03-15,-0.06206896551724137,-0.020000000000000018,30
2024-03-22,0.13681868743047831,0.028888888888888964,30
